id,nombre,tipo_cocina,localizacion,descripcion,puntuacion_media,num_valoraciones
30,Fonda Zen,china,Lugo,"El espacio combina mesas altas y bajas. Dispone de menú del día con varias alternativas. Restaurante de cocina japonesa situado en un entorno moderno y luminoso. Especializado en ramen casero con caldo de larga cocción, resulta ideal para comidas de negocio.",3.56,318
31,Cantina Fusión,americana,A Coruña,"Dispone de menú del día con varias alternativas. Restaurante de cocina fusión situado en un entorno acogedor y cálido. La relación calidad-precio es uno de sus puntos fuertes. Especializado en tapas variadas para compartir, resulta ideal para celebraciones familiares.",4.86,223
32,Ramen Centro,gallega,Pontevedra,"Especializado en platos de cuchara tradicionales, resulta ideal para reuniones informales. Se pueden adaptar platos al gusto del cliente. Restaurante de cocina mexicana situado en un entorno romántico con iluminación tenue. Dispone de menú del día con varias alternativas.",4.83,318
33,Taberna Viva,healthy,Ourense,"La música de fondo crea un ambiente agradable. Especializado en pizzas artesanales al horno de leña, resulta ideal para comidas rápidas entre semana. Restaurante de cocina fusión situado en un entorno tranquilo y silencioso. Suele incorporar sugerencias fuera de carta.",3.64,36
34,Veggie Lumière,mediterránea,Santiago,"La mayoría de los ingredientes son de proximidad. Restaurante de cocina fusión situado en un entorno acogedor y cálido. Ofrece opciones para vegetarianos y celíacos. Especializado en sushi fresco preparado al momento, resulta ideal para reuniones informales.",4.31,384
35,Casa Atlántico,japonesa,Bilbao,"Especializado en tacos mexicanos con salsas caseras, resulta ideal para comidas de negocio. Incluye opciones sin gluten bajo petición. Suele incorporar sugerencias fuera de carta. Restaurante de cocina japonesa situado en un entorno tranquilo y silencioso.",4.98,131
36,Pizzería Select,china,Lugo,"El local admite reservas para grupos grandes. La relación calidad-precio es uno de sus puntos fuertes. Especializado en platos de cuchara tradicionales, resulta ideal para salidas con amigos. Restaurante de cocina fusión situado en un entorno moderno y luminoso.",4.8,196
37,Bistro Atlántico,gallega,Málaga,"Especializado en ensaladas healthy con productos de temporada, resulta ideal para brunch de fin de semana. Cuenta con carta de vinos seleccionada y cervezas artesanas. Suele incorporar sugerencias fuera de carta. Restaurante de cocina americana situado en un entorno romántico con iluminación tenue.",3.73,150
38,Cantina Atlántico,india,Lugo,"La mayoría de los ingredientes son de proximidad. Restaurante de cocina gallega situado en un entorno moderno y luminoso. Ofrece opciones para vegetarianos y celíacos. Especializado en ensaladas healthy con productos de temporada, resulta ideal para comidas de negocio.",3.62,151
39,Tapas Gourmet,china,Sevilla,"Especializado en tapas variadas para compartir, resulta ideal para celebraciones familiares. Cuenta con carta de vinos seleccionada y cervezas artesanas. La presentación de los platos está muy cuidada. Restaurante de cocina mediterránea situado en un entorno acogedor y cálido.",3.6,364
40,Tandoori House,gallega,Valencia,"La mayoría de los ingredientes son de proximidad. Cuenta con carta de vinos seleccionada y cervezas artesanas. Restaurante de cocina india situado en un entorno moderno y luminoso. Especializado en postres caseros inspirados en recetas locales, resulta ideal para comidas de negocio.",3.72,96
41,Steakhouse Do Sol,india,Bilbao,"Se pueden adaptar platos al gusto del cliente. Restaurante de cocina gallega situado en un entorno elegante pero cercano. Especializado en platos de cuchara tradicionales, resulta ideal para cenas en pareja. El local admite reservas para grupos grandes.",4.5,79
42,Burger Galicia,healthy,Vigo,"El equipo de cocina apuesta por sabores intensos. El local admite reservas para grupos grandes. Restaurante de cocina china situado en un entorno informal y desenfadado. Especializado en tapas variadas para compartir, resulta ideal para celebraciones familiares.",4.16,133
43,Ramen Lumière,mexicana,Santiago,"Ofrece opciones para vegetarianos y celíacos. Especializado en tacos mexicanos con salsas caseras, resulta ideal para cenas en pareja. Restaurante de cocina mediterránea situado en un entorno tranquilo y silencioso. Es habitual encontrar productos de temporada en el menú.",4.88,499
44,Grill Gourmet,china,Valencia,"El local admite reservas para grupos grandes. Restaurante de cocina italiana situado en un entorno romántico con iluminación tenue. El equipo de cocina apuesta por sabores intensos. Especializado en hamburguesas gourmet con pan brioche, resulta ideal para cenas en pareja.",4.2,120
45,Wok Lumière,india,Zaragoza,"Especializado en tapas variadas para compartir, resulta ideal para cenas en pareja. Cuenta con carta de vinos seleccionada y cervezas artesanas. Restaurante de cocina healthy situado en un entorno moderno y luminoso. La relación calidad-precio es uno de sus puntos fuertes.",4.14,285
46,Taberna Do Sol,india,Málaga,"Ofrece opciones para vegetarianos y celíacos. Especializado en hamburguesas gourmet con pan brioche, resulta ideal para brunch de fin de semana. Restaurante de cocina gallega situado en un entorno moderno y luminoso. Suele incorporar sugerencias fuera de carta.",4.8,342
47,Tapas Select,india,A Coruña,"Restaurante de cocina vegana situado en un entorno acogedor y cálido. Especializado en ensaladas healthy con productos de temporada, resulta ideal para cenas en pareja. Es habitual encontrar productos de temporada en el menú. Dispone de menú del día con varias alternativas.",4.11,290
48,Taberna Viva,japonesa,Bilbao,"El local admite reservas para grupos grandes. Especializado en ramen casero con caldo de larga cocción, resulta ideal para comidas de negocio. Restaurante de cocina japonesa situado en un entorno elegante pero cercano. Suele incorporar sugerencias fuera de carta.",4.24,251
49,Brasserie Rica,japonesa,Vigo,"Especializado en tacos mexicanos con salsas caseras, resulta ideal para comidas rápidas entre semana. Restaurante de cocina americana situado en un entorno moderno y luminoso. La mayoría de los ingredientes son de proximidad. Dispone de menú del día con varias alternativas.",3.68,116
50,Casa Delicias,italiana,Sevilla,"Especializado en hamburguesas gourmet con pan brioche, resulta ideal para brunch de fin de semana. Restaurante de cocina fusión situado en un entorno elegante pero cercano. La cocina es visible desde la sala principal. Se pueden adaptar platos al gusto del cliente.",4.47,481
51,Sushi Do Sol,india,Madrid,"Restaurante de cocina mediterránea situado en un entorno elegante pero cercano. La música de fondo crea un ambiente agradable. Especializado en hamburguesas gourmet con pan brioche, resulta ideal para comidas de negocio. La relación calidad-precio es uno de sus puntos fuertes.",4.84,103
52,Fonda Viva,mediterránea,Pontevedra,"Especializado en ramen casero con caldo de larga cocción, resulta ideal para cenas en pareja. Restaurante de cocina mediterránea situado en un entorno romántico con iluminación tenue. Incluye opciones sin gluten bajo petición. Es habitual encontrar productos de temporada en el menú.",4.66,385
53,Curry Friends,vegana,Ourense,"Especializado en hamburguesas gourmet con pan brioche, resulta ideal para comidas de negocio. Ofrece opciones para vegetarianos y celíacos. Restaurante de cocina healthy situado en un entorno animado y perfecto para grupos. La mayoría de los ingredientes son de proximidad.",4.09,486
54,Trattoria Del Mar,china,Zaragoza,"Especializado en postres caseros inspirados en recetas locales, resulta ideal para reuniones informales. La presentación de los platos está muy cuidada. Restaurante de cocina fusión situado en un entorno animado y perfecto para grupos. El local admite reservas para grupos grandes.",4.15,449
55,Grill Fusión,india,Bilbao,"Cuenta con carta de vinos seleccionada y cervezas artesanas. Especializado en tacos mexicanos con salsas caseras, resulta ideal para cenas en pareja. El espacio combina mesas altas y bajas. Restaurante de cocina italiana situado en un entorno informal y desenfadado.",3.77,372
56,Tapas Centro,vegana,Ourense,"La relación calidad-precio es uno de sus puntos fuertes. Restaurante de cocina healthy situado en un entorno elegante pero cercano. Cuenta con carta de vinos seleccionada y cervezas artesanas. Especializado en platos de cuchara tradicionales, resulta ideal para reuniones informales.",3.65,348
57,Pizzería Urbano,china,Barcelona,"Especializado en tacos mexicanos con salsas caseras, resulta ideal para cenas en pareja. Se pueden adaptar platos al gusto del cliente. Restaurante de cocina healthy situado en un entorno romántico con iluminación tenue. Incluye opciones sin gluten bajo petición.",4.18,374
58,Veggie Select,japonesa,Lugo,"La relación calidad-precio es uno de sus puntos fuertes. La cocina es visible desde la sala principal. Restaurante de cocina mediterránea situado en un entorno animado y perfecto para grupos. Especializado en ensaladas healthy con productos de temporada, resulta ideal para salidas con amigos.",4.48,338
59,Curry House,americana,Bilbao,"La relación calidad-precio es uno de sus puntos fuertes. Restaurante de cocina italiana situado en un entorno animado y perfecto para grupos. Especializado en ramen casero con caldo de larga cocción, resulta ideal para comidas de negocio. El local admite reservas para grupos grandes.",3.61,362
60,Tandoori Del Mar,americana,Bilbao,"La música de fondo crea un ambiente agradable. Restaurante de cocina china situado en un entorno urbano de estilo industrial. Suele incorporar sugerencias fuera de carta. Especializado en postres caseros inspirados en recetas locales, resulta ideal para brunch de fin de semana.",4.65,347
61,Asador Delicias,mexicana,Zaragoza,"Restaurante de cocina japonesa situado en un entorno moderno y luminoso. Especializado en ramen casero con caldo de larga cocción, resulta ideal para salidas con amigos. La mayoría de los ingredientes son de proximidad. Dispone de menú del día con varias alternativas.",3.92,297
62,Tapas Del Mar,fusión,Zaragoza,"Restaurante de cocina italiana situado en un entorno animado y perfecto para grupos. La música de fondo crea un ambiente agradable. Especializado en tacos mexicanos con salsas caseras, resulta ideal para comidas rápidas entre semana. Suele incorporar sugerencias fuera de carta.",4.79,371
63,Casa Rica,healthy,Zaragoza,"Restaurante de cocina italiana situado en un entorno elegante pero cercano. Especializado en carnes a la brasa de larga maduración, resulta ideal para eventos de empresa. La presentación de los platos está muy cuidada. La música de fondo crea un ambiente agradable.",4.09,91
64,Cantina Lumière,japonesa,Santiago,"Especializado en platos de cuchara tradicionales, resulta ideal para salidas con amigos. Restaurante de cocina gallega situado en un entorno urbano de estilo industrial. Suele incorporar sugerencias fuera de carta. Dispone de menú del día con varias alternativas.",4.28,254
65,Tapas House,india,Ourense,"La música de fondo crea un ambiente agradable. Se pueden adaptar platos al gusto del cliente. Especializado en ramen casero con caldo de larga cocción, resulta ideal para comidas rápidas entre semana. Restaurante de cocina gallega situado en un entorno elegante pero cercano.",4.36,347
66,Fonda Lumière,fusión,Madrid,"Especializado en ramen casero con caldo de larga cocción, resulta ideal para salidas con amigos. Restaurante de cocina mediterránea situado en un entorno animado y perfecto para grupos. Incluye opciones sin gluten bajo petición. El espacio combina mesas altas y bajas.",4.87,97
67,Osteria Zen,healthy,Lugo,"Restaurante de cocina italiana situado en un entorno tranquilo y silencioso. La música de fondo crea un ambiente agradable. Especializado en tacos mexicanos con salsas caseras, resulta ideal para comidas de negocio. Suele incorporar sugerencias fuera de carta.",3.71,275
68,Wok Friends,healthy,A Coruña,"Restaurante de cocina gallega situado en un entorno urbano de estilo industrial. La relación calidad-precio es uno de sus puntos fuertes. Cuenta con carta de vinos seleccionada y cervezas artesanas. Especializado en ramen casero con caldo de larga cocción, resulta ideal para comidas de negocio.",3.9,86
69,Pizzería Atlántico,mediterránea,Barcelona,"Dispone de menú del día con varias alternativas. Restaurante de cocina italiana situado en un entorno informal y desenfadado. El espacio combina mesas altas y bajas. Especializado en sushi fresco preparado al momento, resulta ideal para comidas rápidas entre semana.",4.01,274
70,Veggie Urbano,vegana,Vigo,"Ofrece opciones para vegetarianos y celíacos. El equipo de cocina apuesta por sabores intensos. Restaurante de cocina italiana situado en un entorno animado y perfecto para grupos. Especializado en ensaladas healthy con productos de temporada, resulta ideal para comidas rápidas entre semana.",4.03,187
71,Curry Select,healthy,Zaragoza,"Especializado en ensaladas healthy con productos de temporada, resulta ideal para celebraciones familiares. La música de fondo crea un ambiente agradable. El espacio combina mesas altas y bajas. Restaurante de cocina japonesa situado en un entorno moderno y luminoso.",4.77,86
72,Taberna Viva,mediterránea,A Coruña,"Especializado en tacos mexicanos con salsas caseras, resulta ideal para eventos de empresa. Dispone de menú del día con varias alternativas. La presentación de los platos está muy cuidada. Restaurante de cocina healthy situado en un entorno elegante pero cercano.",4.98,310
73,Trattoria Gourmet,americana,Pontevedra,"Especializado en hamburguesas gourmet con pan brioche, resulta ideal para salidas con amigos. Suele incorporar sugerencias fuera de carta. Restaurante de cocina healthy situado en un entorno elegante pero cercano. El local admite reservas para grupos grandes.",4.27,280
74,Osteria Do Sol,mediterránea,Málaga,"Restaurante de cocina gallega situado en un entorno acogedor y cálido. Especializado en ensaladas healthy con productos de temporada, resulta ideal para comidas rápidas entre semana. La cocina es visible desde la sala principal. El equipo de cocina apuesta por sabores intensos.",3.96,478
75,Bistro Del Mar,americana,Pontevedra,"Especializado en carnes a la brasa de larga maduración, resulta ideal para cenas en pareja. Es habitual encontrar productos de temporada en el menú. Restaurante de cocina china situado en un entorno elegante pero cercano. La cocina es visible desde la sala principal.",4.63,366
76,Steakhouse Do Sol,india,Santiago,"Se pueden adaptar platos al gusto del cliente. Restaurante de cocina mexicana situado en un entorno elegante pero cercano. Dispone de menú del día con varias alternativas. Especializado en tapas variadas para compartir, resulta ideal para cenas en pareja.",4.88,175
77,Cantina Delicias,japonesa,Málaga,"Cuenta con carta de vinos seleccionada y cervezas artesanas. Restaurante de cocina americana situado en un entorno moderno y luminoso. Especializado en platos de cuchara tradicionales, resulta ideal para celebraciones familiares. Suele incorporar sugerencias fuera de carta.",4.4,285
78,Taberna Lumière,japonesa,Málaga,"La presentación de los platos está muy cuidada. Especializado en tapas variadas para compartir, resulta ideal para cenas en pareja. Restaurante de cocina vegana situado en un entorno urbano de estilo industrial. Ofrece opciones para vegetarianos y celíacos.",4.4,220
79,Fonda Rica,italiana,Santiago,"Dispone de menú del día con varias alternativas. Especializado en ramen casero con caldo de larga cocción, resulta ideal para celebraciones familiares. El equipo de cocina apuesta por sabores intensos. Restaurante de cocina japonesa situado en un entorno moderno y luminoso.",4.56,455
80,Grill Lumière,china,Valencia,"Dispone de menú del día con varias alternativas. Especializado en sushi fresco preparado al momento, resulta ideal para comidas de negocio. Es habitual encontrar productos de temporada en el menú. Restaurante de cocina fusión situado en un entorno tranquilo y silencioso.",4.19,241
81,Sushi Lumière,mediterránea,Bilbao,"Restaurante de cocina italiana situado en un entorno moderno y luminoso. La cocina es visible desde la sala principal. Se pueden adaptar platos al gusto del cliente. Especializado en platos de cuchara tradicionales, resulta ideal para comidas de negocio.",4.02,484
82,Curry Galicia,mediterránea,Málaga,"Restaurante de cocina italiana situado en un entorno moderno y luminoso. La relación calidad-precio es uno de sus puntos fuertes. Especializado en ensaladas healthy con productos de temporada, resulta ideal para reuniones informales. Ofrece opciones para vegetarianos y celíacos.",4.74,112
83,Taberna Rica,fusión,Ourense,"Restaurante de cocina healthy situado en un entorno urbano de estilo industrial. Especializado en tapas variadas para compartir, resulta ideal para comidas rápidas entre semana. El equipo de cocina apuesta por sabores intensos. El servicio es cercano y cuida cada detalle.",4.04,176
84,Steakhouse Gourmet,china,Lugo,"El espacio combina mesas altas y bajas. Restaurante de cocina mexicana situado en un entorno tranquilo y silencioso. La música de fondo crea un ambiente agradable. Especializado en ensaladas healthy con productos de temporada, resulta ideal para reuniones informales.",3.94,425
85,Taberna Zen,italiana,Vigo,"La cocina es visible desde la sala principal. Especializado en ensaladas healthy con productos de temporada, resulta ideal para eventos de empresa. El equipo de cocina apuesta por sabores intensos. Restaurante de cocina italiana situado en un entorno informal y desenfadado.",4.89,86
86,Steakhouse Delicias,mexicana,Valencia,"Restaurante de cocina healthy situado en un entorno urbano de estilo industrial. Especializado en tapas variadas para compartir, resulta ideal para celebraciones familiares. Suele incorporar sugerencias fuera de carta. La cocina es visible desde la sala principal.",3.95,95
87,Asador Lumière,japonesa,A Coruña,"El local admite reservas para grupos grandes. Restaurante de cocina americana situado en un entorno informal y desenfadado. Es habitual encontrar productos de temporada en el menú. Especializado en tacos mexicanos con salsas caseras, resulta ideal para comidas rápidas entre semana.",4.63,359
88,Steakhouse World,fusión,A Coruña,"El local admite reservas para grupos grandes. Especializado en ensaladas healthy con productos de temporada, resulta ideal para eventos de empresa. La presentación de los platos está muy cuidada. Restaurante de cocina china situado en un entorno animado y perfecto para grupos.",3.9,402
89,Brasserie Rica,japonesa,Madrid,"El espacio combina mesas altas y bajas. Restaurante de cocina mediterránea situado en un entorno elegante pero cercano. El servicio es cercano y cuida cada detalle. Especializado en postres caseros inspirados en recetas locales, resulta ideal para eventos de empresa.",4.01,44
90,Osteria Viva,italiana,Málaga,"El equipo de cocina apuesta por sabores intensos. Especializado en hamburguesas gourmet con pan brioche, resulta ideal para celebraciones familiares. Restaurante de cocina japonesa situado en un entorno tranquilo y silencioso. Incluye opciones sin gluten bajo petición.",4.2,157
91,Brasserie Do Sol,healthy,Bilbao,"Restaurante de cocina china situado en un entorno animado y perfecto para grupos. Especializado en hamburguesas gourmet con pan brioche, resulta ideal para comidas de negocio. Se pueden adaptar platos al gusto del cliente. El servicio es cercano y cuida cada detalle.",4.67,98
92,Casa Gourmet,vegana,Lugo,"El servicio es cercano y cuida cada detalle. Se pueden adaptar platos al gusto del cliente. Especializado en ensaladas healthy con productos de temporada, resulta ideal para salidas con amigos. Restaurante de cocina americana situado en un entorno moderno y luminoso.",4.02,286
93,Steakhouse Do Sol,japonesa,Sevilla,"Especializado en sushi fresco preparado al momento, resulta ideal para salidas con amigos. El servicio es cercano y cuida cada detalle. El espacio combina mesas altas y bajas. Restaurante de cocina mexicana situado en un entorno tranquilo y silencioso.",3.56,194
94,Steakhouse Rica,healthy,A Coruña,"La cocina es visible desde la sala principal. Restaurante de cocina americana situado en un entorno informal y desenfadado. El espacio combina mesas altas y bajas. Especializado en tapas variadas para compartir, resulta ideal para celebraciones familiares.",3.59,287
95,Casa Centro,italiana,Santiago,"La música de fondo crea un ambiente agradable. Especializado en sushi fresco preparado al momento, resulta ideal para salidas con amigos. Restaurante de cocina italiana situado en un entorno moderno y luminoso. La mayoría de los ingredientes son de proximidad.",3.6,469
96,Casa Do Sol,india,Pontevedra,"Especializado en tacos mexicanos con salsas caseras, resulta ideal para salidas con amigos. Restaurante de cocina americana situado en un entorno acogedor y cálido. Cuenta con carta de vinos seleccionada y cervezas artesanas. El espacio combina mesas altas y bajas.",3.62,304
97,Cantina House,mediterránea,Vigo,"Especializado en hamburguesas gourmet con pan brioche, resulta ideal para eventos de empresa. Restaurante de cocina vegana situado en un entorno elegante pero cercano. La presentación de los platos está muy cuidada. Dispone de menú del día con varias alternativas.",4.18,212
98,Sushi Delicias,vegana,Bilbao,"Especializado en tacos mexicanos con salsas caseras, resulta ideal para comidas rápidas entre semana. Restaurante de cocina japonesa situado en un entorno animado y perfecto para grupos. Dispone de menú del día con varias alternativas. Se pueden adaptar platos al gusto del cliente.",4.79,84
99,Asador Rica,healthy,Zaragoza,"La presentación de los platos está muy cuidada. Cuenta con carta de vinos seleccionada y cervezas artesanas. Especializado en sushi fresco preparado al momento, resulta ideal para celebraciones familiares. Restaurante de cocina gallega situado en un entorno informal y desenfadado.",4.94,311
100,Steakhouse Fusión,mexicana,Ourense,"La música de fondo crea un ambiente agradable. Restaurante de cocina mediterránea situado en un entorno informal y desenfadado. Especializado en carnes a la brasa de larga maduración, resulta ideal para eventos de empresa. La presentación de los platos está muy cuidada.",3.76,106
101,Trattoria Friends,fusión,Ourense,"Incluye opciones sin gluten bajo petición. Especializado en sushi fresco preparado al momento, resulta ideal para eventos de empresa. Restaurante de cocina americana situado en un entorno informal y desenfadado. El equipo de cocina apuesta por sabores intensos.",3.56,179
102,Cantina House,china,Sevilla,"Restaurante de cocina americana situado en un entorno moderno y luminoso. Incluye opciones sin gluten bajo petición. Especializado en ramen casero con caldo de larga cocción, resulta ideal para brunch de fin de semana. Suele incorporar sugerencias fuera de carta.",3.68,262
103,Taberna Roma,mexicana,A Coruña,"La mayoría de los ingredientes son de proximidad. Especializado en postres caseros inspirados en recetas locales, resulta ideal para eventos de empresa. Ofrece opciones para vegetarianos y celíacos. Restaurante de cocina americana situado en un entorno urbano de estilo industrial.",4.21,424
104,Trattoria World,india,Málaga,"Restaurante de cocina china situado en un entorno informal y desenfadado. La mayoría de los ingredientes son de proximidad. La música de fondo crea un ambiente agradable. Especializado en ensaladas healthy con productos de temporada, resulta ideal para salidas con amigos.",4.94,79
105,Casa Select,mediterránea,Santiago,"Se pueden adaptar platos al gusto del cliente. Incluye opciones sin gluten bajo petición. Restaurante de cocina gallega situado en un entorno urbano de estilo industrial. Especializado en tapas variadas para compartir, resulta ideal para celebraciones familiares.",4.82,340
106,Asador Rica,mexicana,Barcelona,"La música de fondo crea un ambiente agradable. Especializado en platos de cuchara tradicionales, resulta ideal para comidas de negocio. Restaurante de cocina mexicana situado en un entorno tranquilo y silencioso. Es habitual encontrar productos de temporada en el menú.",3.84,457
